par,est,iter,ln_sigma_eta,Estimation model,Operating model
beta[j1],-2.1221040709306305,69,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-1.9890626905790258,70,0,Diffusion,Operating model = Diffusion
beta[j1],-2.3728893170816625,70,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-1.9137708624346508,70,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.5047928972746405,71,0,Diffusion,Operating model = Diffusion
beta[j1],-3.1538600657467004,71,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.303470078699752,71,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.73306629587729,72,0,Diffusion,Operating model = Diffusion
beta[j1],-2.442592079046812,72,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.9652505468179697,72,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.5594533931269594,73,0,Diffusion,Operating model = Diffusion
beta[j1],-2.4504226536097677,73,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.411281679886335,73,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.3705951727531738,74,0,Diffusion,Operating model = Diffusion
beta[j1],-2.146255218127305,74,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.0156437031037386,74,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.320844167458033,75,0,Diffusion,Operating model = Diffusion
beta[j1],-2.5104455928444667,75,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.8808216224869634,75,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.3948800565472514,76,0,Diffusion,Operating model = Diffusion
beta[j1],-2.6542639793650054,76,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-1.9749993583161116,76,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.1912817163099176,77,0,Diffusion,Operating model = Diffusion
beta[j1],-2.378459596750825,77,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.1860242347035204,77,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.734201855698946,78,0,Diffusion,Operating model = Diffusion
beta[j1],-2.608563398211769,78,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-3.1360061552715512,78,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.2566845658766694,79,0,Diffusion,Operating model = Diffusion
beta[j1],-2.583840176216779,79,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.523189374484633,79,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.259294933598504,80,0,Diffusion,Operating model = Diffusion
beta[j1],-2.397088078395909,80,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.435341552762722,80,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-1.909124174727065,81,0,Diffusion,Operating model = Diffusion
beta[j1],-2.3411855085227744,81,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-1.8229902528776947,81,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.011099852942313,82,0,Diffusion,Operating model = Diffusion
beta[j1],-2.1224197430075846,82,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.5915919643531264,82,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.3749727600772976,83,0,Diffusion,Operating model = Diffusion
beta[j1],-2.3922291282942787,83,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.1123100743364702,83,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.4196487380657037,84,0,Diffusion,Operating model = Diffusion
beta[j1],-2.6686807380426827,84,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.4703649170964215,84,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.16081563448908,85,0,Diffusion,Operating model = Diffusion
beta[j1],-2.4784573790555973,85,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.3546008595231327,85,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.5149114662619376,86,0,Diffusion,Operating model = Diffusion
beta[j1],-2.6707624019122025,86,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.546031413677141,86,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.53013718460552,87,0,Diffusion,Operating model = Diffusion
beta[j1],-2.812093305737997,87,-2.30258509299405,Diffusion,Operating model = Diffusion
