Operating model,Estimation model,aic,index
Diffusion,Diffusion,1,33-0.5
Diffusion,Null,0,33-0.5
Diffusion,Diffusion,1,34-0.25
Diffusion,Null,0,34-0.25
Diffusion,Diffusion,1,34-0.1
Diffusion,Null,0,34-0.1
Diffusion,Diffusion,1,34-0.5
Diffusion,Null,0,34-0.5
Diffusion,Diffusion,1,35-0.25
Diffusion,Null,0,35-0.25
Diffusion,Diffusion,1,35-0.1
Diffusion,Null,0,35-0.1
Diffusion,Diffusion,1,35-0.5
Diffusion,Null,0,35-0.5
Diffusion,Diffusion,1,36-0.25
Diffusion,Null,0,36-0.25
Diffusion,Diffusion,1,36-0.1
Diffusion,Null,0,36-0.1
Diffusion,Diffusion,1,36-0.5
Diffusion,Null,0,36-0.5
Diffusion,Diffusion,1,37-0.25
Diffusion,Null,0,37-0.25
Diffusion,Diffusion,1,37-0.1
Diffusion,Null,0,37-0.1
Diffusion,Diffusion,1,37-0.5
Diffusion,Null,0,37-0.5
Diffusion,Diffusion,1,38-0.25
Diffusion,Null,0,38-0.25
Diffusion,Diffusion,1,38-0.1
Diffusion,Null,0,38-0.1
Diffusion,Diffusion,1,38-0.5
Diffusion,Null,0,38-0.5
Diffusion,Diffusion,1,39-0.25
Diffusion,Null,0,39-0.25
Diffusion,Diffusion,1,39-0.1
Diffusion,Null,0,39-0.1
Diffusion,Diffusion,1,39-0.5
Diffusion,Null,0,39-0.5
Diffusion,Diffusion,1,40-0.25
Diffusion,Null,0,40-0.25
Diffusion,Diffusion,1,40-0.1
Diffusion,Null,0,40-0.1
Diffusion,Diffusion,1,40-0.5
Diffusion,Null,0,40-0.5
Diffusion,Diffusion,1,41-0.25
Diffusion,Null,0,41-0.25
Diffusion,Diffusion,1,41-0.1
Diffusion,Null,0,41-0.1
Diffusion,Diffusion,1,41-0.5
Diffusion,Null,0,41-0.5
Diffusion,Diffusion,1,42-0.25
Diffusion,Null,0,42-0.25
Diffusion,Diffusion,1,42-0.1
Diffusion,Null,0,42-0.1
Diffusion,Diffusion,1,42-0.5
Diffusion,Null,0,42-0.5
Diffusion,Diffusion,1,43-0.25
Diffusion,Null,0,43-0.25
Diffusion,Diffusion,1,43-0.1
Diffusion,Null,0,43-0.1
Diffusion,Diffusion,1,43-0.5
Diffusion,Null,0,43-0.5
Diffusion,Diffusion,1,44-0.25
Diffusion,Null,0,44-0.25
Diffusion,Diffusion,1,44-0.1
Diffusion,Null,0,44-0.1
Diffusion,Diffusion,1,44-0.5
Diffusion,Null,0,44-0.5
Diffusion,Diffusion,1,45-0.25
Diffusion,Null,0,45-0.25
Diffusion,Diffusion,1,45-0.1
Diffusion,Null,0,45-0.1
Diffusion,Diffusion,1,45-0.5
Diffusion,Null,0,45-0.5
Diffusion,Diffusion,1,46-0.25
Diffusion,Null,0,46-0.25
Diffusion,Diffusion,1,46-0.1
Diffusion,Null,0,46-0.1
Diffusion,Diffusion,1,46-0.5
Diffusion,Null,0,46-0.5
Diffusion,Diffusion,1,47-0.25
Diffusion,Null,0,47-0.25
Diffusion,Diffusion,1,47-0.1
Diffusion,Null,0,47-0.1
Diffusion,Diffusion,1,47-0.5
Diffusion,Null,0,47-0.5
Diffusion,Diffusion,1,48-0.25
Diffusion,Null,0,48-0.25
Diffusion,Diffusion,1,48-0.1
Diffusion,Null,0,48-0.1
Diffusion,Diffusion,0,48-0.5
Diffusion,Null,1,48-0.5
Diffusion,Diffusion,1,49-0.25
Diffusion,Null,0,49-0.25
Diffusion,Diffusion,1,49-0.1
Diffusion,Null,0,49-0.1
Diffusion,Diffusion,1,49-0.5
Diffusion,Null,0,49-0.5
Diffusion,Diffusion,1,50-0.25
Diffusion,Null,0,50-0.25
Diffusion,Diffusion,1,50-0.1
Diffusion,Null,0,50-0.1
Diffusion,Diffusion,1,50-0.5
Diffusion,Null,0,50-0.5
