"","species","model","beta0","beta_j_1","beta_j_2","ln_tau","ln_kappa","ln_kappa2","ln_sigma_eta"
"15","a_atf","diffusion",-4.67541897404634,1.85720053611523,-1.3487065089663,-1.26435662463815,-1.53869532847016,3.60670619588809,0.635690389482665
"16","a_atf","null",-4.77466233642242,1.72627214629069,-1.24427476742895,-1.26847262772142,-1.55035005952919,NA,0.635663953734186
"17","j_kam","diffusion",-5.63449703241302,1.18506563589621,-0.746631978393845,-1.27264307716629,-1.54832635421211,2.93439176580846,0.736321095775559
"18","j_kam","null",-5.9208976022839,0.807177360383901,-0.505800325529068,-1.29947365232815,-1.54783285749587,NA,0.736887047285695
"19","a_kam","diffusion",-4.63547351038014,3.58435928915293,-0.760110390934892,-1.63645597070274,-0.232387956186775,5.86391806280235,0.425803513283684
"20","a_kam","null",-4.63066407865798,3.58124851356096,-0.759149290708934,-1.63641348409192,-0.231151623447829,NA,0.425788140409819
"21","j_turbot","diffusion",-6.33225590956368,3.7624401622921,-1.03603003774359,-1.57875830249647,-1.00107902236592,6.52646553987806,0.787119785390709
"22","j_turbot","null",-6.53539752912863,3.78096784996061,-1.03896201902079,-1.57750875711089,-1.02227837097893,NA,0.787344147946152
"23","a_turbot","diffusion",-4.29682089205755,4.15474834721113,-0.839167225259597,-2.18232161284716,0.136069031984699,3.26567088699331,0.303306236232864
"24","a_turbot","null",-4.50515659101493,3.54401012723588,-0.670554729218093,-2.200169103914,0.117228881003848,NA,0.305292165956947
"25","halibut","diffusion",-0.37405335421126,-0.191316472373349,-0.405685982499156,-1.38837919116731,-0.359166443204595,3.38656164059556,0.061853738041598
"26","halibut","null",-0.413352159439836,-0.196646209238201,-0.355725264075768,-1.38790492744293,-0.361045263274087,NA,0.0619023560729597
"27","ej_fhs","diffusion",-6.17502369691684,-2.53303953089109,-1.4784484174296,-2.32646833859018,-0.275307706395787,6.4089672553028,0.850700941113539
"28","ej_fhs","null",-6.25790337545499,-2.5824263135055,-1.44519272433944,-2.32485555643919,-0.284698608317919,NA,0.850679884042787
"29","j_fhs","diffusion",-2.95796432125729,-0.394514380710576,-1.35965710142088,-2.31767924895253,-0.430699609742175,6.87676203318993,0.493749487888815
"30","j_fhs","null",-2.94705721954201,-0.387179369413297,-1.36516809966857,-2.31791226972379,-0.429885820680657,NA,0.493709716417033
"31","a_fhs","diffusion",-1.65534251992359,2.53391367290526,-1.88441675886854,-2.20317467403845,-0.323917233540817,3.65042689491696,0.506876020954448
"32","a_fhs","null",-1.86737185697142,2.255332797878,-1.70751401311121,-2.19760184405448,-0.351362880794224,NA,0.507143281752352
"33","j_berfl","diffusion",-7.7561274483966,-19.7748757452612,-33.9378646932827,-1.89443998087978,-1.11838941301432,1.81187141787116,0.659393942726286
"34","j_berfl","null",-7.06676731161962,-8.04169978082542,-14.4094770468957,-1.9498068079534,-1.06328688290333,NA,0.658896696994337
"35","a_berfl","diffusion",-11.3852209688674,-30.3324016055864,-42.867156569786,-1.76887571813831,-1.16190311677905,1.64429388048227,0.626346850750335
"36","a_berfl","null",-9.49265708587971,-12.88788563124,-18.4578435756235,-1.83228718790293,-1.12960693321198,NA,0.625267936037748
"37","j_rex","diffusion",-6.06404905465346,2.44309210277745,-2.03332243140658,-2.65597862913938,0.0457732604132925,3.1245380215877,0.669502512311223
"38","j_rex","null",-6.906030639869,1.4489092576483,-1.44658465018562,-2.63093601771122,-0.0790829274493575,NA,0.670565127706009
"39","a_rex","diffusion",-4.19236785908278,5.66912723039839,-3.07461633155026,-2.68634404378115,0.104684849893622,3.07281626125312,0.543814329356572
"40","a_rex","null",-5.40740382044419,3.9925261016509,-2.23851359570798,-2.64980845681718,-0.0985802400794761,NA,0.549154082093636
"41","ej_yfs","diffusion",-10.5367768053254,-17.1707041679217,-11.5525590491119,-1.98557708661688,-0.92357851945435,9.77627681441341,0.943968663451256
"42","ej_yfs","null",-10.6676736251915,-17.803839866271,-12.1887335289311,-1.98599637702854,-0.925851527648839,NA,0.943948531128451
"43","j_yfs","diffusion",-2.58042406100473,-22.328858758956,-10.91863099393,-1.8041368491657,-0.559701742934919,-0.169516821524308,0.296001441429892
"44","j_yfs","null",-1.15478149450914,-6.69845591522675,-5.44114213569769,-1.73918778094018,-1.1512989943755,NA,0.296872123857866
"45","a_yfs","diffusion",-1.51332854029674,-8.01777317072695,-7.8318824712426,-1.72940846287132,-0.935833409618092,2.93977351845715,0.255174831347921
"46","a_yfs","null",-1.54464995734282,-7.67952839588376,-7.71232864410617,-1.73064079828119,-0.98820379690946,NA,0.255208021661498
